latitude,longitude,beds,code,area,super_area,icu_beds
-37.06183775742603,174.94491072698793,13,F03037-C,163200,2,1
-40.34118914616425,175.62407451833053,8,F3L641-K,230200,8,0
-41.340688077640266,173.19988691766554,12,F04003-B,303200,16,1
-41.12996764026924,173.00813639116333,5,F0G065-F,301200,16,0
-41.286997055957194,173.27231898929256,191,F03099-C,305200,17,19
-41.53587986054648,173.94419113788422,100,F03093-B,308300,18,10
-41.316970060342484,174.7792095712562,71,F0B047-A,253000,9,7
-41.2037126406173,174.9266312094606,38,F0B080-K,245100,9,3
-44.408419465149855,171.2563418019991,132,F05013-K,341200,13,13
-45.869704201020674,170.5090593919294,361,F04066-D,353200,14,36
-45.02316337407712,168.73570102499474,15,F05024-D,348400,14,1
-46.43894431641402,168.3562625443708,168,F05021-J,362200,15,16
-38.637768375531756,178.00529194759403,115,F03076-B,205500,5,11
-39.58748320639018,174.26617217413803,14,F05039-F,221700,7,1
-37.79209071170933,175.28513785267535,17,F0E058-K,179400,3,1
-39.92961788142042,175.0504855328189,15,F0F065-A,225400,8,1
-39.07231244832865,174.05563061442913,194,F05038-D,217400,7,19
-37.803811933184484,175.28346587032016,125,F06002-K,179800,3,12
-38.01856510621592,175.32712050943803,32,F05097-J,184300,3,3
-37.64519582264549,175.51770380695132,32,F05096-G,174000,3,3
-37.136452051862264,175.5440760905174,52,F05065-G,167700,3,5
-38.230961718040994,175.8604628781111,21,F05089-K,186600,3,2
-37.80516726008535,175.28312638412774,673,F05076-A,179800,3,67
-40.94854513804379,175.67476050064153,89,F06007-J,256300,9,8
-36.87501938476703,174.7063084429173,109,F03054-C,131900,2,10
-37.55558083981054,175.16057376111212,6,F0C046-D,171500,3,0
-36.87905353160843,174.77118222330253,43,F09012-F,138700,2,4
-36.781904194559395,174.75653756979713,663,F03031-B,125500,2,66
-36.87350896610787,174.71055292851906,10,F03066-K,132200,2,1
-46.236750263753244,169.740591180648,18,F0C097-K,356600,14,1
-36.29270614455284,174.52477181427466,2,F0C000-B,110500,2,0
-36.86974100688441,174.63065334585252,283,F03032-D,125700,2,28
-36.79899923610396,174.78767669614484,26,F03033-F,129300,2,2
-41.74872073852557,171.605829869128,8,F06053-E,309200,12,0
-41.535212958691126,173.94587656134217,4,F0F074-B,308300,18,0
-36.8473936644365,174.74731563317644,13,F0F062-F,131800,2,1
-37.742604099170855,176.1357954297421,51,F2U007-J,195400,4,5
-39.94393911619986,175.03728660502,172,F06022-E,225800,8,17
-41.259533976310095,174.76683378643008,44,F0A037-D,249100,9,4
-39.641319779381355,176.8347680251585,33,F09093-K,210300,6,3
-43.28958486443689,172.5911676517975,16,F04043-C,314000,13,1
-37.807813638359605,175.27922872483944,89,F09066-G,180100,3,8
-45.200795067007206,169.33115715782773,24,F05073-F,345400,14,2
-36.956819734924785,174.8554905540399,20,F03049-K,154100,2,2
-36.67551855524051,174.45124627656776,5,F0C016-F,112400,2,0
-46.439591625042105,168.356395515141,8,F0B095-A,362200,15,0
-39.073698318055904,174.05795935765948,6,F2V089-J,217400,7,0
-39.90661945616947,175.02628313655669,5,F0D076-G,223700,8,0
-35.70849929780284,174.3198558649104,19,F0D079-B,106800,1,1
-41.27874540092716,173.29033209970444,22,F0A059-C,305500,17,2
-35.6957298621178,174.33253507534732,8,F0C067-A,106500,1,0
-45.84784245807893,170.53177277478488,12,F0B073-B,351700,14,1
-37.788183284447996,175.2900506836409,20,F0E050-E,179700,3,2
-36.86232501162406,174.7797804099979,45,F0B075-F,136400,2,4
-40.947509700475926,175.67344852833753,10,F0C023-C,256300,9,1
-44.38576631987887,171.21595960709115,7,F0C096-H,340400,13,0
-36.87380275684656,174.77974046738552,17,F0B077-K,138500,2,1
-43.52020255388399,172.63480448180977,86,F0A087-H,324800,13,8
-37.789122529903615,175.29038574930757,60,F09069-B,179700,3,6
-46.407023440618865,168.3532268917841,26,F0B017-C,361300,15,2
-39.05858932262349,174.0636027913092,24,F09098-J,216900,7,2
