output_area,ethnicity,0,15,30,65
143500,European,595,437,1334,646
143600,European,220,294,637,255
143700,European,293,325,692,356
143800,European,358,480,887,209
143900,European,212,277,572,204
144000,European,874,606,1660,485
144100,European,393,396,1034,271
144300,European,400,325,941,216
144400,European,415,324,935,199
144500,European,261,280,639,160
144600,European,173,162,608,332
144700,European,360,326,668,136
144800,European,263,321,766,137
144900,European,217,249,506,171
145000,European,274,271,779,160
145100,European,650,494,1262,715
145200,European,208,198,384,103
145300,European,181,284,576,701
145400,European,8,30,52,11
145500,European,47,89,210,58
145600,European,344,250,796,121
145700,European,217,217,509,203
145800,European,276,243,521,103
145900,European,31,67,114,114
146000,European,212,168,454,124
146100,European,455,297,894,337
146200,European,248,358,666,148
146300,European,316,222,405,136
146400,European,310,327,907,446
146500,European,129,183,323,115
146600,European,237,258,500,108
146700,European,3,19,27,8
146800,European,316,224,645,264
146900,European,162,137,528,267
147000,European,220,250,457,151
147100,European,203,258,553,255
147200,European,256,353,755,243
147500,European,279,221,576,150
147600,European,283,229,793,330
147800,European,313,304,867,384
148000,European,184,204,577,295
148100,European,362,332,830,368
148200,European,101,83,127,55
148300,European,120,163,332,187
148400,European,287,290,726,318
148500,European,66,74,79,29
148600,European,98,66,119,24
148700,European,233,225,683,354
148800,European,137,166,373,137
148900,European,148,132,158,62
149000,European,338,322,670,375
149100,European,132,202,315,85
149200,European,282,259,586,541
149300,European,276,231,574,153
149400,European,96,144,126,24
149500,European,107,131,194,79
149700,European,312,353,789,243
149800,European,303,270,549,179
149900,European,414,307,1256,422
150000,European,98,61,77,11
150100,European,40,40,137,38
150200,European,112,76,130,55
150300,European,127,100,198,90
150400,European,470,439,1097,323
150500,European,277,224,477,170
150600,European,453,490,1291,535
150700,European,313,247,587,171
150800,European,114,94,122,29
150900,European,100,113,232,69
151000,European,83,91,89,32
151100,European,191,132,538,228
151200,European,103,92,103,55
151300,European,312,369,828,551
151400,European,208,281,314,81
151500,European,331,262,638,206
151600,European,113,84,128,60
151700,European,138,87,442,195
151800,European,106,106,140,66
151900,European,144,131,289,88
152000,European,447,353,976,469
152100,European,104,96,161,63
152200,European,281,284,711,267
152400,European,454,429,1125,469
152500,European,157,90,295,81
152600,European,30,30,62,16
152800,European,119,122,179,49
152900,European,290,222,602,293
153000,European,81,52,112,36
153100,European,195,212,561,306
153200,European,52,44,52,23
153300,European,141,131,214,105
153400,European,617,552,1516,648
153500,European,99,91,86,20
153600,European,70,65,109,54
153700,European,273,233,603,235
153800,European,394,359,935,348
153900,European,127,194,403,183
154000,European,151,190,367,180
154100,European,110,108,283,132
154200,European,218,154,311,76
154300,European,408,396,1007,327
154400,European,71,76,71,31
154500,European,102,120,336,312
154700,European,135,178,339,560
154800,European,171,152,325,125
154900,European,158,180,473,359
155000,European,697,435,1301,303
155100,European,114,80,93,23
155200,European,144,187,399,82
155300,European,112,147,320,156
155400,European,169,213,495,169
155500,European,19,61,186,50
155600,European,163,131,294,137
155700,European,112,86,104,31
155800,European,132,114,114,20
155900,European,140,109,223,83
156100,European,136,141,266,51
156200,European,109,112,336,169
156300,European,171,248,502,157
156400,European,631,332,1259,315
156500,European,126,147,300,177
156600,European,155,124,282,63
156700,European,84,84,180,58
156800,European,67,59,49,13
156900,European,199,216,424,66
157000,European,74,101,178,99
157100,European,417,459,1109,353
