geography,Method of Travel to Work: Drive_a_private_car_truck_or_van; measures: Value,Method of Travel to Work: Drive_a_company_car_truck_or_van; measures: Value,Method of Travel to Work: Passenger_in_a_car_truck_van_or_company_bus; measures: Value,Method of Travel to Work: Public_bus; measures: Value,Method of Travel to Work: Train; measures: Value,Method of Travel to Work: Bicycle; measures: Value,Method of Travel to Work: Ferry; measures: Value,Method of Travel to Work: Other; measures: Value,Method of Travel to Work: Total; measures: Value,date,geography code,Rural Urban
119500,480,63,6,87,0,0,0,0,981,2018,119500,Total
119600,252,21,0,6,0,0,0,0,489,2018,119600,Total
119700,222,18,0,42,0,0,0,0,462,2018,119700,Total
119800,900,108,0,0,0,0,0,0,1425,2018,119800,Total
119900,471,39,9,63,0,0,0,0,891,2018,119900,Total
120000,348,57,9,54,0,0,0,0,792,2018,120000,Total
120100,54,0,0,0,0,0,0,0,147,2018,120100,Total
120200,777,84,0,72,0,0,129,0,1566,2018,120200,Total
120300,873,99,12,9,0,0,78,0,1536,2018,120300,Total
120400,687,84,21,192,0,9,0,0,1347,2018,120400,Total
120500,534,48,9,78,0,0,0,0,1053,2018,120500,Total
120600,591,39,9,18,0,0,0,0,999,2018,120600,Total
120700,552,27,0,0,0,0,24,0,1014,2018,120700,Total
120800,558,57,0,96,0,0,0,0,1080,2018,120800,Total
120900,558,27,6,6,0,0,0,0,954,2018,120900,Total
121000,831,72,12,150,0,0,0,0,1476,2018,121000,Total
121100,381,84,0,0,39,0,0,0,894,2018,121100,Total
121200,435,39,6,156,0,0,0,0,936,2018,121200,Total
121300,504,39,0,147,0,0,0,0,1071,2018,121300,Total
121400,492,51,6,93,0,0,0,0,864,2018,121400,Total
121500,642,60,21,165,0,0,0,0,1215,2018,121500,Total
121600,759,72,0,6,0,0,0,0,1185,2018,121600,Total
121700,198,6,0,0,0,0,0,0,375,2018,121700,Total
121800,702,60,0,132,0,0,21,0,1356,2018,121800,Total
121900,861,66,6,198,0,0,0,0,1566,2018,121900,Total
122000,363,9,0,0,42,0,0,0,708,2018,122000,Total
122100,777,60,0,111,0,0,0,0,1245,2018,122100,Total
122200,612,51,9,87,0,0,0,0,1125,2018,122200,Total
122300,639,39,0,0,0,0,0,0,1113,2018,122300,Total
122400,747,63,15,165,0,0,0,0,1416,2018,122400,Total
122500,597,42,12,9,0,0,0,0,990,2018,122500,Total
122600,444,30,18,93,0,0,0,0,861,2018,122600,Total
122700,660,63,24,150,0,0,0,0,1281,2018,122700,Total
122800,879,75,30,159,0,0,0,0,1671,2018,122800,Total
122900,972,129,24,6,0,0,0,0,1557,2018,122900,Total
123000,660,60,24,6,33,0,0,0,1089,2018,123000,Total
123100,603,27,18,174,0,0,0,0,1119,2018,123100,Total
123200,627,72,0,51,0,0,0,0,1119,2018,123200,Total
123300,993,87,12,162,0,0,0,0,1695,2018,123300,Total
123400,807,69,18,243,0,0,0,0,1488,2018,123400,Total
123600,729,75,0,138,0,0,0,0,1368,2018,123600,Total
123700,936,108,0,153,0,0,0,0,1872,2018,123700,Total
123800,501,27,15,6,36,0,0,0,888,2018,123800,Total
123900,675,48,0,123,0,0,12,0,1368,2018,123900,Total
124000,864,51,21,210,0,0,0,6,1620,2018,124000,Total
124100,102,9,0,0,0,0,0,0,273,2018,124100,Total
124200,429,18,18,0,27,0,0,0,792,2018,124200,Total
124300,693,42,27,21,36,0,0,0,1137,2018,124300,Total
124400,1068,114,0,288,0,0,6,0,1998,2018,124400,Total
124500,552,60,0,42,0,0,0,0,1089,2018,124500,Total
124600,465,9,21,66,0,0,0,0,837,2018,124600,Total
124700,156,48,0,0,0,0,0,0,435,2018,124700,Total
124800,753,48,0,66,0,0,0,0,1347,2018,124800,Total
124900,525,45,12,6,6,0,0,0,906,2018,124900,Total
