super_area,lat,lon
8,-37.7867728,175.2797369
8,-37.7481107,175.2329873
8,-37.7496907,175.2779747
8,-35.7252083,174.3215229
8,-36.9148262,174.8420883
8,-40.7218508,175.6400808
8,-43.5312962,172.5998132
8,-39.4798008,176.8991062
8,-37.6871766,176.1684209
8,-37.6847515,176.1694815
8,-36.9071129,174.6872341
8,-36.8515466,174.7652516
8,-36.8944993,174.9303527
8,-40.8594062,172.8062614
8,-36.8396323,174.754676
8,-41.1301071,175.0551079
8,-42.5357388,171.1817428
8,-37.1984966,174.9041896
8,-39.0564544,174.0777909
8,-38.6864474,176.0711818
8,-41.1234267,173.0135744
8,-41.1122679,173.0120105
8,-36.8485766,174.8322843
8,-35.7256501,174.3217833
8,-38.2166967,175.8703847
8,-43.5461105,172.6354577
8,-43.5347371,172.6361166
8,-40.9578872,175.6493703
8,-37.736868,176.1050695
8,-37.7177103,176.3422736
8,-38.6663771,178.0266243
8,-36.7810912,175.0070476
8,-36.8628465,174.8091382
8,-37.7841439,176.3256928
8,-38.0094631,175.3231563
8,-36.8726269,174.7760952
8,-43.5316565,172.6278303
8,-36.8827956,174.7324557
8,-36.9646014,174.9136267
8,-36.9340626,174.9142776
15,-45.8741805,170.5027365
15,-45.8755039,170.5023269
15,-45.8729493,170.5028562
15,-42.7178517,170.9626453
15,-45.0324696,168.66088
15,-44.9386193,168.8312055
15,-44.3941156,171.2496932
15,-43.5074957,172.6640598
15,-43.4940238,172.6085699
15,-45.4144917,167.7156821
15,-42.4487737,171.2076061
15,-45.5424372,169.3152276
15,-46.4123021,168.3476911
15,-43.5312962,172.5998132
15,-44.6974674,169.1356133
15,-42.5357388,171.1817428
15,-46.8978111,168.1269002
15,-43.5461105,172.6354577
15,-43.5347371,172.6361166
15,-45.0952846,170.9724247
15,-43.5316565,172.6278303
15,-44.732864,171.0462007
15,-43.8100858,172.9632278
6,-36.8928594,174.7743337
6,-36.8683617,174.7775985
6,-41.3058382,174.7634702
6,-36.8661991,174.7783286
6,-36.786739,174.7720478
6,-37.1358345,175.5409776
6,-36.9902693,174.8806638
6,-36.8198324,174.6127328
6,-40.2267748,175.5650703
6,-41.1368424,174.8411773
6,-41.3370854,174.7725119
6,-37.7854478,175.2804709
6,-36.8516331,174.7637552
6,-36.8179699,174.745162
6,-36.3520003,174.7176816
6,-41.1236377,175.0717209
6,-41.3158392,174.8162766
6,-39.6424465,176.8439986
6,-39.6707611,176.8781431
6,-37.9509723,176.9974914
6,-39.9342076,175.0545286
6,-40.3546291,175.6131859
6,-41.2196045,175.4575936
6,-41.2709865,173.2842196
6,-41.5153341,173.9575902
6,-37.7867728,175.2797369
6,-37.7481107,175.2329873
6,-37.7496907,175.2779747
6,-35.7252083,174.3215229
6,-36.9148262,174.8420883
6,-40.7218508,175.6400808
6,-39.4798008,176.8991062
6,-37.6871766,176.1684209
6,-37.6847515,176.1694815
6,-36.9071129,174.6872341
6,-36.8515466,174.7652516
6,-36.8944993,174.9303527
6,-40.8594062,172.8062614
6,-36.8396323,174.754676
6,-41.1301071,175.0551079
6,-37.1984966,174.9041896
6,-39.0564544,174.0777909
6,-38.6864474,176.0711818
6,-41.1234267,173.0135744
6,-41.1122679,173.0120105
6,-36.8485766,174.8322843
6,-35.7256501,174.3217833
6,-38.2166967,175.8703847
6,-40.9578872,175.6493703
6,-37.736868,176.1050695
6,-37.7177103,176.3422736
6,-38.6663771,178.0266243
6,-36.7810912,175.0070476
6,-36.8628465,174.8091382
6,-37.7841439,176.3256928
6,-38.0094631,175.3231563
6,-36.8726269,174.7760952
6,-36.8827956,174.7324557
6,-36.9646014,174.9136267
6,-36.9340626,174.9142776
5,-36.8928594,174.7743337
5,-36.8683617,174.7775985
5,-41.3058382,174.7634702
5,-36.8661991,174.7783286
5,-36.786739,174.7720478
5,-37.1358345,175.5409776
5,-36.9902693,174.8806638
5,-36.8198324,174.6127328
5,-40.2267748,175.5650703
5,-41.1368424,174.8411773
5,-41.3370854,174.7725119
5,-37.7854478,175.2804709
5,-36.8516331,174.7637552
5,-36.8179699,174.745162
5,-36.3520003,174.7176816
5,-41.1236377,175.0717209
5,-41.3158392,174.8162766
5,-39.6424465,176.8439986
5,-39.6707611,176.8781431
5,-37.9509723,176.9974914
5,-39.9342076,175.0545286
5,-40.3546291,175.6131859
5,-41.2196045,175.4575936
5,-41.2709865,173.2842196
5,-41.5153341,173.9575902
5,-37.7867728,175.2797369
5,-37.7481107,175.2329873
