super_area,lat,lon
1,-38.2185904,175.8700829
1,-36.9869703,174.8731307
1,-37.0481836,174.9287032
1,-37.0482938,174.9277617
1,-35.7247083,174.3240288
1,-35.7246835,174.3232975
1,-36.9254914,174.9125496
1,-36.9620789,174.8729092
1,-37.1913966,174.9048617
1,-36.6151364,174.6781285
1,-35.2340743,173.9525721
1,-35.2340349,173.9530413
1,-35.2334987,173.9537136
1,-35.2282145,173.9476776
1,-35.2264138,173.9486374
1,-36.8901927,175.0104149
1,-36.8902104,175.0102088
1,-35.1139377,173.2647723
1,-38.2194228,175.8706153
1,-38.692435,176.1075855
1,-36.8988522,174.8473112
1,-36.8794452,174.851193
1,-36.8656214,174.7642973
1,-36.8704013,174.7758307
1,-36.7902852,174.7640318
1,-36.7889979,174.7692149
1,-36.8118223,174.7246229
1,-36.9114327,174.676373
1,-36.8463077,174.7616259
1,-36.850528,174.7583637
1,-37.7516008,175.2946141
1,-36.9083864,174.7559599
1,-36.8625692,174.8094298
1,-38.0361349,176.7971454
1,-37.6892277,176.1689837
1,-36.8999477,174.6526079
1,-37.7996732,174.8686651
1,-37.8000377,174.8705565
1,-36.3429332,174.733899
1,-38.0066188,175.3251721
1,-38.0100864,175.3279341
1,-38.0103528,175.324959
1,-36.8551035,174.7342017
1,-36.418748,174.7239203
1,-37.0381842,174.9141619
1,-36.9891436,174.8804021
1,-35.9436952,173.8672042
1,-36.8694732,174.7496257
1,-36.8705508,174.7480634
1,-36.870035,174.711109
1,-36.8116797,174.7259581
1,-36.811519,174.7240766
1,-36.8645437,174.7727191
1,-36.8697753,174.7782468
1,-36.8660009,174.7781307
1,-36.8643762,174.7767154
1,-36.8658817,174.7781648
1,-36.8643797,174.7769355
1,-36.8648004,174.7751251
1,-36.8984547,174.8459871
1,-36.8647446,174.7776914
1,-36.867677,174.777706
1,-36.7471413,174.7358945
1,-36.8674866,174.7742003
1,-36.8644625,174.777537
1,-36.8681015,174.7746144
1,-36.8701431,174.7772767
1,-36.8644888,174.7766484
1,-36.6280572,174.7330331
1,-35.7082248,174.3208369
1,-35.6091553,174.5249033
1,-36.9119184,174.7745874
1,-38.1431094,176.2818863
1,-36.8482573,174.7537576
1,-36.8600664,174.7534018
1,-36.8500016,174.7643386
1,-36.9992884,174.7893947
1,-36.8499489,174.8692295
1,-36.6268223,174.6728771
1,-36.9282396,174.9139282
1,-36.9000402,174.8043289
1,-36.8757165,174.7324983
1,-36.9025778,174.6898288
1,-36.8848533,174.7309855
1,-36.8426377,174.7559751
1,-36.8847986,174.7383441
1,-36.971476,174.8604812
1,-36.8692402,174.7753128
1,-36.8470327,174.765501
1,-36.8450798,174.7719224
1,-36.8572015,174.7636065
1,-36.9820341,174.7799639
1,-36.9280875,174.9009205
1,-36.9346383,174.9132094
1,-36.930199,174.9102756
1,-36.9650421,174.9023739
1,-36.8944493,174.9319228
1,-36.89644,174.88078
1,-36.9018104,174.9257971
1,-36.9868655,174.8802036
1,-36.9886613,174.8725875
1,-36.9881255,174.8735957
1,-36.9854596,174.8777609
1,-36.9841046,174.8762251
1,-37.0011968,174.8774392
1,-36.9892378,174.876833
1,-36.9875806,174.8771844
1,-37.0034159,174.87777
1,-36.9948248,174.8503198
1,-37.0603606,174.941631
1,-37.0602782,174.9431762
1,-37.0631825,174.9428946
1,-37.048593,174.9319878
1,-36.9209108,174.8012961
1,-36.9251383,174.7823329
1,-36.9222515,174.7856647
1,-36.9217884,174.8131078
1,-36.9023666,174.8086239
1,-36.9057202,174.8106835
1,-36.8983746,174.8088004
1,-36.8993528,174.8077359
1,-36.8830871,174.813592
