area,socioeconomic_centile,super_area
177500,5.0,3
177600,5.0,3
177700,4.0,3
177800,10.0,3
177900,7.0,3
178000,8.0,3
178100,6.0,3
178200,10.0,3
178300,8.0,3
178400,10.0,3
178500,8.0,3
178600,7.0,3
178700,10.0,3
178800,9.0,3
178900,9.0,3
179100,10.0,3
179200,6.0,3
179300,8.0,3
179400,8.0,3
179500,7.0,3
179600,7.0,3
179700,9.0,3
179800,8.0,3
179900,10.0,3
180000,9.0,3
180100,8.0,3
180200,7.0,3
180300,9.0,3
180400,9.0,3
180500,10.0,3
180600,7.0,3
180700,8.0,3
180800,8.0,3
180900,8.0,3
181000,5.0,3
181100,5.0,3
181200,5.0,3
181400,3.0,3
181500,2.0,3
181600,2.0,3
181700,2.0,3
181800,2.0,3
181900,2.0,3
182000,3.0,3
182100,4.0,3
182200,1.0,3
182300,3.0,3
182500,1.0,3
182600,1.0,3
182700,4.0,3
182800,4.0,3
182900,2.0,3
183000,1.0,3
183100,3.0,3
183200,7.0,3
183300,6.0,3
183400,7.0,3
183500,5.0,3
183600,9.0,3
183700,3.0,3
183800,6.0,3
183900,4.0,3
184000,5.0,3
184200,8.0,3
184300,6.0,3
184400,8.0,3
184500,2.0,3
184600,4.0,3
184800,8.0,3
184900,2.0,3
185000,5.0,3
185200,10.0,3
185300,6.0,3
185400,6.0,3
185500,9.0,3
185600,6.0,3
185700,6.0,3
185800,6.0,3
185900,6.0,3
186000,9.0,3
186100,5.0,3
186200,9.0,3
186300,9.0,3
186400,10.0,3
186500,10.0,3
186600,10.0,3
186700,10.0,3
186800,9.0,3
187000,7.0,3
187100,7.0,3
187200,8.0,3
187300,10.0,3
187400,10.0,3
187500,8.0,3
187700,9.0,3
187800,4.0,3
187900,7.0,3
188000,1.0,3
188200,8.0,3
188300,1.0,3
188400,3.0,3
188500,5.0,3
188700,9.0,3
188800,9.0,3
188900,8.0,3
189000,4.0,3
189100,5.0,3
189200,3.0,3
189300,5.0,3
189400,2.0,3
189600,9.0,3
189700,10.0,3
190200,5.0,4
190300,4.0,4
190400,5.0,4
190500,4.0,4
190600,7.0,4
190900,2.0,4
191000,2.0,4
191100,3.0,4
191200,4.0,4
191300,2.0,4
191400,3.0,4
191600,4.0,4
191700,3.0,4
191800,3.0,4
191900,9.0,4
192000,7.0,4
192100,8.0,4
192300,9.0,4
192400,7.0,4
192500,6.0,4
192600,2.0,4
192800,5.0,4
192900,5.0,4
193000,3.0,4
193100,6.0,4
193200,5.0,4
193300,3.0,4
193400,7.0,4
193500,2.0,4
193600,7.0,4
193700,2.0,4
193800,7.0,4
193900,7.0,4
194000,8.0,4
194100,7.0,4
194200,1.0,4
194300,4.0,4
194400,9.0,4
194500,3.0,4
194600,9.0,4
194700,9.0,4
194800,7.0,4
194900,5.0,4
195000,9.0,4
195100,1.0,4
195200,8.0,4
195300,10.0,4
195400,4.0,4
195500,7.0,4
195600,1.0,4
195700,8.0,4
195800,8.0,4
195900,6.0,4
196000,7.0,4
196100,3.0,4
196200,3.0,4
196300,5.0,4
196400,2.0,4
196500,10.0,4
196600,7.0,4
196700,7.0,4
196800,3.0,4
196900,3.0,4
197000,7.0,4
197100,3.0,4
197200,7.0,4
197300,5.0,4
197400,6.0,4
197500,2.0,4
197600,3.0,4
197700,4.0,4
197900,8.0,4
198000,2.0,4
198100,8.0,4
198200,7.0,4
198400,7.0,4
198500,10.0,4
198600,10.0,4
198700,8.0,4
198800,7.0,4
198900,9.0,4
199000,10.0,4
199100,10.0,4
199200,5.0,4
199400,10.0,4
199500,10.0,4
199600,6.0,4
199700,10.0,4
199800,10.0,4
199900,8.0,4
200000,4.0,4
200200,9.0,4
200300,10.0,4
200400,2.0,4
200500,10.0,4
200600,2.0,4
200700,5.0,4
200800,5.0,4
200900,9.0,4
201000,9.0,4
201200,9.0,4
201300,7.0,4
201400,7.0,4
201500,2.0,4
201600,4.0,3
201700,7.0,4
201800,7.0,3
201900,5.0,4
202000,7.0,4
202100,5.0,4
202200,8.0,4
202300,6.0,4
202400,10.0,4
202500,5.0,4
202600,10.0,4
202700,9.0,4
202800,10.0,4
202900,9.0,4
203000,2.0,4
203100,10.0,4
203200,3.0,4
203400,10.0,4
203500,10.0,4
203600,10.0,4
203700,9.0,4
203900,10.0,4
204100,8.0,4
204200,10.0,4
204300,7.0,4
204400,10.0,4
204500,9.0,4
204700,10.0,5
204800,9.0,5
204900,10.0,5
205000,10.0,5
205100,6.0,5
205200,9.0,5
205300,8.0,5
205400,3.0,5
205500,3.0,5
205600,8.0,5
205700,7.0,5
205800,7.0,5
205900,9.0,5
206000,10.0,5
206100,10.0,5
206200,6.0,5
206300,10.0,5
206400,9.0,5
206500,10.0,5
206600,2.0,5
206700,6.0,5
