area,latitude,longitude
154700,-36.92502363,174.92612028
154800,-36.98008106,174.84650545
154900,-36.97461746,174.85800659
155000,-36.88262674,174.99783159
155100,-36.95494224,174.88625064
155200,-36.94313907,174.90527124
155300,-36.93221968,174.92259922
155400,-36.9385812,174.91414624
155500,-36.99138991,174.86947528
155600,-36.97237736,174.87353637
155700,-36.96833434,174.87640961
155800,-36.966167,174.88252157
155900,-36.98945511,174.84681066
156100,-36.94584124,174.91221484
156200,-36.97749183,174.86726543
156300,-36.9417869,174.92247188
156400,-36.89631822,175.00316112
156500,-36.98354464,174.86235623
156600,-36.95210786,174.90970489
156700,-36.98905465,174.85892926
156800,-36.97393225,174.88932555
156900,-36.95525862,174.91670173
157000,-36.98223841,174.87178448
157100,-36.96408816,174.98854671
157200,-36.97278636,174.89431555
157300,-36.96413048,174.91309841
157400,-36.88774867,175.03797111
157500,-36.97187248,174.90214003
157600,-37.00828264,174.8624367
157700,-36.97956376,174.89311669
157800,-36.95819159,174.93091114
157900,-36.98563252,174.89012173
158000,-36.97749254,174.90785629
158100,-36.97596797,174.9175859
158200,-36.96503986,174.9321751
158300,-36.98571899,174.9077134
158400,-36.99903763,174.88709031
158500,-36.99421746,174.89732834
158600,-36.98204749,174.93107925
158700,-37.02445325,174.8600384
158800,-37.02139033,174.86798825
158900,-36.97921496,174.95509968
159000,-37.0016393,174.90024498
159100,-37.0133257,174.88546124
159200,-37.01888813,174.87799595
159300,-37.00156996,174.91303846
159400,-37.13836247,174.70757601
159500,-37.03235369,174.85926627
159600,-37.01063595,174.89789866
159700,-37.03230003,174.8651409
159800,-37.13436391,174.76437739
159900,-37.02855927,174.8721658
160000,-37.02529361,174.88087913
160100,-37.02111515,174.89147225
160200,-37.03938307,174.86530684
160300,-37.01717082,174.90042465
160400,-37.01247699,174.92080195
160500,-37.03734988,174.87760685
160600,-37.03219654,174.88734352
160700,-37.04682412,174.86299551
160800,-37.02583832,174.90610927
160900,-37.03138834,174.90040876
161000,-37.01986261,174.91783022
161100,-37.05128128,174.87522682
161200,-37.03867016,174.89487336
161300,-37.02624737,174.91357933
161400,-37.12442419,174.82148593
161500,-37.04722333,174.8929496
161600,-37.02622521,174.93229242
161800,-37.0486937,174.91293014
161900,-37.04393764,174.91537177
162000,-37.04068506,174.92112941
162100,-37.0415736,174.93888309
162200,-37.05069884,174.92586896
162300,-37.06183843,175.01147993
162400,-37.20183488,174.75527205
162500,-37.0736996,174.91419445
162600,-37.04902013,174.94514981
162700,-36.98413362,175.15196852
162800,-37.05653671,174.93416803
162900,-37.01480977,175.04590674
163000,-37.05741406,174.94794613
163100,-37.06864785,174.93272857
163200,-37.06542305,174.94281885
163300,-37.05143433,174.96594275
163400,-37.08456461,174.92648385
163500,-37.05933436,174.96239449
163600,-37.0662997,174.95483864
163700,-37.0807433,174.93811005
163900,-37.05846123,174.97920854
164000,-37.07682576,174.94797761
164200,-37.06738541,174.97729374
164300,-37.10606959,174.93669402
164400,-37.2446936,174.72332941
164500,-37.24583465,174.73952417
164600,-37.11220768,174.97476145
164700,-37.25584046,174.72781174
164800,-37.25796999,174.73496824
164900,-37.25314449,174.7507266
165000,-37.21369487,174.847442
165100,-37.15945142,174.93408164
165200,-37.08256361,175.08169261
165300,-37.18225476,174.89580342
165400,-37.18633345,174.93550996
165500,-37.20097025,174.88803986
165600,-37.18797047,174.9107133
165700,-37.20705288,174.8959015
165800,-37.19697684,174.91307633
165900,-37.21592548,174.8926362
166100,-37.21226696,174.90262406
166200,-37.22733765,174.91924064
166300,-37.17536804,175.0022561
166400,-37.14686222,175.08246983
166500,-36.69966402,175.48157611
166700,-36.75575844,175.49571548
166900,-36.84372857,175.61178473
167000,-36.82143931,175.6736582
167100,-36.8336234,175.69356396
167200,-37.0047507,175.54379335
167300,-36.84060376,175.74775563
167400,-36.97215776,175.71637026
167500,-37.1074127,175.62523646
167600,-37.13153868,175.54591871
167700,-37.14032281,175.54142966
167800,-37.1491222,175.55903757
168000,-37.16787966,175.56011763
168100,-36.99459914,175.85342329
168200,-37.03385041,175.85488182
168300,-37.23726446,175.66087396
168400,-37.17526649,175.83010048
168500,-37.21349281,175.86658897
168600,-37.11354894,175.27611278
168700,-37.26398219,175.39649071
168800,-37.23819335,175.54353689
168900,-37.27899729,175.4915105
169000,-37.355292,175.48248555
169100,-37.39345524,175.57864603
169200,-37.37535256,175.67393688
169300,-37.43661886,175.78432191
169400,-37.38622736,175.83349229
169500,-37.3822807,175.85561293
169600,-37.397349,175.83752238
169700,-37.29132737,174.77509206
169800,-37.1550063,175.17580209
169900,-37.28621227,174.95229059
170000,-37.25721309,174.94816256
170100,-37.36416985,174.87549359
170200,-37.27014853,175.00483175
170300,-37.28146265,174.94066878
170400,-37.46326144,174.78022151
170500,-37.24416888,175.0202153
170600,-37.35591115,175.00526866
170700,-37.27897408,175.21484861
170900,-37.69707947,175.04556188
171100,-37.4025191,175.14802087
171200,-37.53043725,175.19128309
171300,-37.42381266,175.30852178
171400,-37.53603123,175.13873674
171500,-37.55408564,175.16553246
171600,-37.8113872,174.8538483
171700,-37.5709867,175.3171859
171900,-37.65858387,175.18844215
172000,-37.66207762,175.15347345
172100,-37.66638305,175.14506504
172200,-37.68072142,175.14339886
172300,-37.65939637,175.27496356
172400,-37.72194588,175.16334028
172500,-37.76133473,175.12331755
172600,-37.70262644,175.20250653
172700,-37.70633361,175.28189629
172800,-37.80041059,175.15911148
172900,-37.79646444,175.22051366
173000,-37.74851528,175.3389199
173100,-37.73963043,175.43296094
173200,-37.8125973,175.35271026
173300,-37.79999562,175.42305312
173400,-37.84740377,175.38978183
173500,-37.52132213,175.46480172
173600,-37.50073616,175.62867197
173700,-37.64163374,175.59349461
173800,-37.69903344,175.52480796
173900,-37.64774647,175.53612606
174000,-37.65791668,175.51913057
174100,-37.53376025,175.70924175
174200,-37.55101925,175.70065739
174300,-37.59772787,175.76835054
174400,-37.64354365,175.70496716
174500,-37.71603663,175.7456246
174600,-37.78764074,175.7349705
174700,-37.77286251,175.84579003
174800,-37.87610156,175.72059543
174900,-37.8092195,175.78065623
175000,-37.81753128,175.77119821
175100,-37.87153608,175.87306966
175300,-37.72225897,175.24766938
175400,-37.75541514,175.21139966
175500,-37.729433,175.23989195
175600,-37.71737955,175.26505049
175700,-37.73942064,175.23527085
175800,-37.73415885,175.25375047
175900,-37.72662295,175.26539165
176000,-37.74160973,175.24441842
176100,-37.72619876,175.28195734
176200,-37.73648973,175.26994776
176400,-37.75310645,175.25025439
176500,-37.75334806,175.26167671
176600,-37.74645488,175.26616377
176700,-37.73572255,175.28384883
176800,-37.77209972,175.23499752
176900,-37.74374104,175.28372029
177000,-37.78528581,175.22663967
177100,-37.78502392,175.23357387
177200,-37.77962005,175.24016975
177300,-37.75401103,175.2771694
177400,-37.77134221,175.25290895
177500,-37.75074523,175.28495138
177600,-37.76368245,175.26146548
177700,-37.76463892,175.27155726
177800,-37.7587924,175.28637944
177900,-37.78865021,175.24575574
178000,-37.77834857,175.26028849
178100,-37.79839009,175.23931456
178200,-37.76889278,175.284084
178300,-37.77756896,175.27048029
178400,-37.76256822,175.29423335
178500,-37.76127248,175.30316917
178600,-37.82263785,175.21910345
178700,-37.79404129,175.25219515
178800,-37.80133598,175.25054092
178900,-37.79650916,175.26255885
179100,-37.77006022,175.29653861
179200,-37.77240012,175.31761726
179300,-37.77969313,175.28791146
179400,-37.78938082,175.28203067
179500,-37.79791394,175.27349231
179600,-37.77692046,175.2973258
179700,-37.79028168,175.29324653
179800,-37.80074182,175.2844169
179900,-37.78580589,175.31016401
180000,-37.7913507,175.30343068
180100,-37.81091872,175.27938651
180200,-37.80128004,175.30076378
180300,-37.81569499,175.2785074
180400,-37.8203408,175.27419165
180500,-37.80931055,175.2924365
180600,-37.79546663,175.31326581
180700,-37.79610513,175.32167122
180800,-37.79128988,175.32912389
180900,-37.81914877,175.29054836
181000,-37.82572526,175.28737408
181100,-37.81785453,175.30086297
181200,-37.80516292,175.32490337
181400,-37.92511289,175.12769727
181500,-37.86550268,175.20500766
181600,-37.85237531,175.29365388
181700,-37.93011525,175.24270782
181800,-37.88426455,175.35405891
181900,-37.99437359,175.20466961
182000,-37.84547487,175.44126339
182100,-38.02371113,175.25791046
182200,-37.94962706,175.34864156
182300,-37.84886961,175.48261168
182500,-37.87109072,175.56894865
182600,-37.8739543,175.4699974
182700,-37.8870045,175.45779762
182800,-37.882191,175.47346428
182900,-37.90135655,175.44969234
183000,-37.87830147,175.48788589
183100,-37.93423692,175.41630478
183200,-37.89316701,175.47159053
183300,-37.99873125,175.32167082
183400,-38.00845928,175.30468954
183500,-37.90325801,175.47086094
183600,-38.00680748,175.31677998
183700,-37.91630252,175.46771972
183800,-37.91053559,175.47246285
183900,-37.902915,175.48298816
184000,-38.0160303,175.31531928
184200,-38.00799642,175.34448965
184300,-38.02172341,175.32426247
184400,-38.01763951,175.33600784
184500,-38.03675379,175.33265785
184600,-38.02123915,175.43705434
184800,-38.03798646,175.35079965
184900,-37.99001963,175.59740495
185000,-38.09897589,175.54852216
185200,-38.07790098,174.95930582
185300,-38.12541932,175.13996614
185400,-38.12026201,175.25944879
185500,-38.18318495,175.21677363
185600,-38.25985712,175.35339708
185700,-38.28518422,175.55136504
185800,-37.95916018,175.81429616
185900,-38.09657792,175.73244372
186000,-38.05293796,175.78466514
186100,-38.29131119,175.79670359
186200,-38.21178412,175.8515199
186300,-38.20923493,175.8736035
186400,-38.22438631,175.85345651
186500,-38.22081091,175.86351739
186600,-38.23232788,175.86534607
186700,-38.2230221,175.8734232
186800,-38.23905279,175.8629699
187000,-38.45166436,174.80364536
