,area,max_students,sector,latitude,longitude,age_min,age_max
36,205100,13,primary,-38.77424506429618,177.56842513814,5,13
38,313400,135,primary,-43.20762875384256,172.49322177099359,5,13
39,257600,118,primary,-41.226862192129055,175.34090567939361,5,13
40,253900,378,primary,-41.32416170893121,174.79310007861758,5,11
41,255200,76,primary,-41.32422211091747,174.8301059964505,5,13
42,317300,466,primary,-43.453944666692884,172.62862544258567,5,13
43,333700,44,primary,-43.33720513696859,171.93226913826334,5,11
44,345400,176,primary,-45.19124615017766,169.31892414039106,5,13
45,346300,10,primary,-44.23381650917353,169.23356054760205,5,13
46,353000,24,primary,-45.86512581972099,170.55572159185647,5,11
47,358300,56,primary,-45.8910260104547,168.35146309779998,5,13
48,197500,694,primary,-37.71900984436249,176.34027219474106,5,11
49,118400,922,secondary,-36.7492216803813,174.6917687445672,11,14
63,103500,154,primary,-35.47255091138709,173.84041400951077,5,13
74,166400,135,primary,-37.140766160982466,175.03701735864942,5,13
82,324500,49,primary,-43.58280082787135,172.54871402875455,5,13
89,312900,124,primary,-43.11742162558952,172.68575544043452,5,13
101,247600,1287,secondary,-41.16554696777374,174.83159040471256,14,19
105,107500,325,primary,-35.73435021427524,174.3224650874484,5,11
121,182500,37,primary,-37.91516390654449,175.55377578016194,5,11
136,252500,259,primary,-41.29596554206461,174.78503195453365,5,13
177,154300,810,primary,-36.90521550550873,174.93976088405188,5,11
182,219200,10,primary,-38.85830174691987,174.60725124798523,5,13
193,123700,992,primary,-36.75468386166751,174.76055086794878,5,11
203,173200,49,primary,-37.827251478713286,175.34058922655484,5,13
208,166700,264,secondary,-36.760327921821634,175.49939408800893,5,19
209,170700,62,primary,-37.251650475168475,175.2278021481454,5,13
211,108800,554,secondary,-35.87722661281063,174.4565387362124,11,19
212,101700,86,secondary,-35.26184539749256,173.39482945337892,5,19
213,110500,350,secondary,-36.28900602289365,174.51999907735814,14,19
216,100100,43,secondary,-34.65465010070916,172.96567748784435,5,19
217,100800,736,secondary,-35.120571618424385,173.2585496981884,14,19
218,137700,1306,secondary,-36.86678977345891,174.76924715052897,11,19
219,101900,102,secondary,-35.1016891318241,173.78753150442623,11,19
220,103000,1491,secondary,-35.22723181973571,173.95474719436254,11,19
221,109400,146,secondary,-36.12330003228212,174.01254582479154,11,19
222,102300,394,secondary,-35.3241157228555,173.76688417570873,11,19
223,104600,363,secondary,-35.380281215539206,174.07677964465375,14,19
224,109300,418,secondary,-35.93113089583259,173.8667561083988,14,19
225,109600,416,secondary,-36.11703994771921,174.36524016967135,11,19
226,103500,288,secondary,-35.41293990933457,173.81029863440713,14,19
227,101600,117,secondary,-35.37996327873621,173.38231758248267,5,19
228,102100,134,secondary,-35.52952266627629,173.39137931061967,5,19
229,107800,532,secondary,-35.87382721212622,174.21829132181333,5,19
230,106000,883,secondary,-35.68484466759785,174.3043318741223,14,19
231,167700,406,secondary,-37.14005871090736,175.54559033424144,14,19
232,106200,285,secondary,-35.68310463868925,174.32982391416232,11,19
233,125500,2120,secondary,-36.782039357696576,174.75058054330515,14,19
234,157200,750,secondary,-36.97160988620897,174.89359273864767,14,19
235,124800,1587,secondary,-36.851720648997954,174.64515748066313,14,19
236,106600,1075,secondary,-35.7178567586162,174.31779122772522,14,19
237,106900,568,secondary,-35.74652080243861,174.27611782517167,11,19
238,105400,78,secondary,-35.731740082238005,174.05825378992483,5,19
239,130200,1008,secondary,-36.846302112640885,174.74863984700033,11,19
240,111300,1468,secondary,-36.405330539590885,174.6553935930168,11,19
241,112900,1858,secondary,-36.59392300153936,174.6903753432939,11,19
