oareas,f A,f B,f C,f D,f E,f F,f G,f H,f I,f J,f K,f L,f M,f N,f O,f P,f Q,f R,f S,m A,m B,m C,m D,m E,m F,m G,m H,m I,m J,m K,m L,m M,m N,m O,m P,m Q,m R,m S
358600,77,0,46,0,18,27,181,72,8,2,0,0,92,9,12,224,60,2,49,161,0,135,0,108,63,113,33,26,1,0,0,62,7,12,55,9,1,55
358700,113,0,19,0,7,1,5,0,24,0,0,7,0,0,0,13,0,4,1,237,0,57,0,42,2,3,0,73,0,0,9,0,0,0,3,0,3,2
358800,1,0,2,0,4,7,25,38,1,0,0,3,2,2,4,56,109,11,11,2,0,6,0,25,17,16,17,3,0,0,4,1,1,4,13,17,9,13
358900,24,0,806,0,5,0,18,2,1,0,2,0,7,0,35,20,0,0,0,52,0,2348,3,30,0,11,1,3,0,1,0,5,0,34,5,0,0,0
359000,81,0,2,0,8,0,2,0,3,0,0,0,0,2,0,0,0,2,1,170,0,6,0,48,0,1,0,9,0,0,0,0,1,0,0,0,1,2
359100,295,0,394,0,9,14,15,24,111,0,0,18,20,2,10,39,14,0,1,616,0,1148,0,54,34,9,11,337,0,0,23,14,1,10,9,2,0,2
359400,131,0,2,0,3,0,0,11,0,0,0,0,0,2,0,28,0,0,19,275,3,6,0,21,0,0,5,0,0,0,0,0,1,0,6,0,0,22
359500,258,0,3,0,4,10,10,52,15,2,0,7,7,0,2,123,48,0,13,540,0,9,0,25,24,6,24,47,1,0,9,5,0,2,30,7,0,15
359600,190,0,39,0,1,3,0,14,10,7,0,21,0,0,0,44,0,0,1,398,0,114,0,7,8,0,6,31,4,0,27,0,0,0,11,0,0,2
359700,127,8,43,0,6,0,0,0,1,0,0,5,2,0,0,22,0,2,1,265,48,125,0,36,0,0,0,3,0,0,7,1,0,0,5,0,1,2
359800,1,0,1,0,4,10,5,0,0,0,0,0,10,0,0,23,90,0,9,2,0,3,0,24,24,3,0,0,0,0,0,6,0,0,5,14,0,11
359900,20,0,2,0,7,0,10,28,1,0,0,0,2,0,0,224,157,29,23,42,0,6,0,42,0,6,13,3,0,0,0,1,0,0,55,24,26,25
360000,2,0,6,0,7,6,15,11,15,0,0,0,2,2,0,28,0,0,42,5,0,18,0,42,14,9,5,47,0,0,0,1,1,0,6,0,0,48
360200,0,0,0,0,4,0,5,11,1,0,0,1,0,0,0,33,302,0,7,0,0,0,0,25,0,3,5,3,0,0,2,0,0,0,8,47,0,8
360300,45,0,75,0,17,16,2,0,12,0,0,0,0,2,10,3,0,4,33,94,0,219,0,102,39,1,0,36,0,0,0,0,1,10,0,0,3,37
360400,63,0,190,0,6,2,30,24,0,0,0,3,0,16,21,33,14,0,3,132,0,553,0,36,5,18,11,0,0,0,4,0,12,20,8,2,0,4
360500,49,2,12,5,14,35,38,38,8,0,0,0,5,2,0,39,66,6,9,104,14,36,20,84,83,24,17,26,0,0,0,3,1,0,9,10,5,11
360600,8,0,139,0,54,121,207,57,12,0,0,12,17,19,158,157,387,0,59,17,0,407,0,324,284,129,26,36,0,0,15,11,15,150,38,61,0,66
360700,4,0,6,0,10,1,7,24,1,0,0,0,33,27,0,33,254,0,19,8,0,18,0,60,2,4,11,3,0,0,0,22,21,0,8,40,0,22
